Week ,Day,Arrival,,,,,
1,Weekday,11:14:27,03:14:27,,,,
1,Weekday,11:15:11,03:15:11,,,,
1,Weekday,11:15:18,03:15:18,,,,
1,Weekday,11:15:33,03:15:33,,,,
1,Weekday,11:16:32,03:16:32,,,,
1,Weekday,11:16:54,03:16:54,,,,
1,Weekday,11:17:48,03:17:48,,,,
1,Weekday,11:19:10,03:19:10,,,,
1,Weekday,11:19:12,03:19:12,,,,
1,Weekday,11:21:25,03:21:25,,,,
1,Weekday,11:22:13,03:22:13,,,,
1,Weekday,11:22:27,03:22:27,,,,
1,Weekday,11:22:59,03:22:59,,,,
1,Weekday,11:23:55,03:23:55,,,,
1,Weekday,11:24:00,03:24:00,,,,
1,Weekday,11:24:08,03:24:08,,,,
1,Weekday,11:25:06,03:25:06,,,,
1,Weekday,11:27:44,03:27:44,,,,
1,Weekday,11:27:57,03:27:57,,,,
1,Weekday,11:28:16,03:28:16,,,,
1,Weekday,11:29:48,03:29:48,,,,
1,Weekday,11:31:08,03:31:08,,,,
1,Weekday,11:31:51,03:31:51,,,,
1,Weekday,11:32:02,03:32:02,,,,
1,Weekday,11:32:08,03:32:08,,,,
1,Weekday,11:33:38,03:33:38,,,,
1,Weekday,11:34:34,03:34:34,,,,
1,Weekday,11:37:39,03:37:39,,,,
1,Weekday,11:38:13,03:38:13,,,,
1,Weekday,11:39:00,03:39:00,,,,
1,Weekday,11:39:23,03:39:23,,,,
1,Weekday,11:41:03,03:41:03,,,,
1,Weekday,11:41:41,03:41:41,,,,
1,Weekday,11:41:53,03:41:53,,,,
1,Weekday,11:43:21,03:43:21,,,,
1,Weekday,11:43:25,03:43:25,,,,
1,Weekday,11:43:26,03:43:26,,,,
1,Weekday,11:43:51,03:43:51,,,,
1,Weekday,11:43:54,03:43:54,,,,
1,Weekday,11:44:33,03:44:33,,,,
1,Weekday,11:45:36,03:45:36,,,,
1,Weekday,11:47:36,03:47:36,,,,
1,Weekday,11:47:37,03:47:37,,,,
1,Weekday,11:48:16,03:48:16,,,,
1,Weekday,11:50:00,03:50:00,,,,
1,Weekday,11:50:35,03:50:35,,,,
1,Weekday,11:50:52,03:50:52,,,,
1,Weekday,11:52:19,03:52:19,,,,
1,Weekday,11:55:13,03:55:13,,,,
1,Weekday,11:55:31,03:55:31,,,,
1,Weekday,11:56:21,03:56:21,,,,
1,Weekday,11:56:35,03:56:35,,,,
1,Weekday,11:57:19,03:57:19,,,,
1,Weekday,11:57:55,03:57:55,,,,
1,Weekday,11:58:34,03:58:34,,,,
1,Weekday,11:59:18,03:59:18,,,,
1,Weekday,12:00:04,04:00:04,,,,
1,Weekday,12:00:29,04:00:29,,,,
1,Weekday,12:01:17,04:01:17,,,,
1,Weekday,12:01:23,04:01:23,,,,
1,Weekday,12:03:07,04:03:07,,,,
1,Weekday,12:03:26,04:03:26,,,,
1,Weekday,12:03:35,04:03:35,,,,
1,Weekday,12:04:32,04:04:32,,,,
1,Weekday,12:04:58,04:04:58,,,,
1,Weekday,12:05:25,04:05:25,,,,
1,Weekday,12:05:32,04:05:32,,,,
1,Weekday,12:05:51,04:05:51,,,,
1,Weekday,12:05:58,04:05:58,,,,
1,Weekday,12:06:00,04:06:00,,,,
1,Weekday,12:06:06,04:06:06,,,,
1,Weekday,12:06:22,04:06:22,,,,
1,Weekday,12:06:31,04:06:31,,,,
1,Weekday,12:06:52,04:06:52,,,,
1,Weekday,12:08:01,04:08:01,,,,
1,Weekday,12:09:15,04:09:15,,,,
1,Weekday,12:09:30,04:09:30,,,,
1,Weekday,12:10:56,04:10:56,,,,
1,Weekday,12:11:04,04:11:04,,,,
1,Weekday,12:13:03,04:13:03,,,,
1,Weekday,12:13:50,04:13:50,,,,
1,Weekday,12:14:03,04:14:03,,,,
1,Weekday,12:14:12,04:14:12,,,,
1,Weekday,12:14:19,04:14:19,,,,
1,Weekday,12:14:59,04:14:59,,,,
1,Weekday,12:15:17,04:15:17,,,,
1,Weekday,12:15:33,04:15:33,,,,
1,Weekday,12:16:56,04:16:56,,,,
1,Weekday,12:19:27,04:19:27,,,,
1,Weekday,12:19:37,04:19:37,,,,
1,Weekday,12:22:04,04:22:04,,,,
1,Weekday,12:22:42,04:22:42,,,,
1,Weekday,12:22:54,04:22:54,,,,
1,Weekday,12:23:03,04:23:03,,,,
1,Weekday,12:23:14,04:23:14,,,,
1,Weekday,12:23:35,04:23:35,,,,
1,Weekday,12:24:12,04:24:12,,,,
1,Weekday,12:24:13,04:24:13,,,,
1,Weekday,12:24:47,04:24:47,,,,
1,Weekday,12:24:53,04:24:53,,,,
1,Weekday,12:25:47,04:25:47,,,,
1,Weekday,12:26:07,04:26:07,,,,
1,Weekday,12:27:12,04:27:12,,,,
1,Weekday,12:27:20,04:27:20,,,,
1,Weekday,12:27:27,04:27:27,,,,
1,Weekday,12:27:59,04:27:59,,,,
1,Weekday,12:28:04,04:28:04,,,,
1,Weekday,12:28:18,04:28:18,,,,
1,Weekday,12:29:01,04:29:01,,,,
1,Weekday,12:29:10,04:29:10,,,,
1,Weekday,12:29:31,04:29:31,,,,
1,Weekday,12:30:12,04:30:12,,,,
1,Weekday,12:30:26,04:30:26,,,,
1,Weekday,12:32:07,04:32:07,,,,
1,Weekday,12:32:38,04:32:38,,,,
1,Weekday,12:34:10,04:34:10,,,,
1,Weekday,12:34:25,04:34:25,,,,
1,Weekday,12:34:31,04:34:31,,,,
1,Weekday,12:34:36,04:34:36,,,,
1,Weekday,12:34:43,04:34:43,,,,
1,Weekday,12:35:07,04:35:07,,,,
1,Weekday,12:35:18,04:35:18,,,,
1,Weekday,12:35:55,04:35:55,,,,
1,Weekday,12:36:40,04:36:40,,,,
1,Weekday,12:36:45,04:36:45,,,,
1,Weekday,12:36:49,04:36:49,,,,
1,Weekday,12:38:04,04:38:04,,,,
1,Weekday,12:38:26,04:38:26,,,,
1,Weekday,12:39:57,04:39:57,,,,
1,Weekday,12:42:40,04:42:40,,,,
1,Weekday,12:43:24,04:43:24,,,,
1,Weekday,12:44:17,04:44:17,,,,
1,Weekday,12:44:42,04:44:42,,,,
1,Weekday,12:45:16,04:45:16,,,,
1,Weekday,12:45:20,04:45:20,,,,
1,Weekday,12:46:05,04:46:05,,,,
1,Weekday,12:46:14,04:46:14,,,,
1,Weekday,12:47:13,04:47:13,,,,
1,Weekday,12:47:22,04:47:22,,,,
1,Weekday,12:47:40,04:47:40,,,,
1,Weekday,12:47:42,04:47:42,,,,
1,Weekday,12:47:47,04:47:47,,,,
1,Weekday,12:48:54,04:48:54,,,,
1,Weekday,12:49:16,04:49:16,,,,
1,Weekday,12:49:27,04:49:27,,,,
1,Weekday,12:49:47,04:49:47,,,,
1,Weekday,12:51:20,04:51:20,,,,
1,Weekday,12:51:28,04:51:28,,,,
1,Weekday,12:51:36,04:51:36,,,,
1,Weekday,12:51:57,04:51:57,,,,
1,Weekday,12:53:04,04:53:04,,,,
1,Weekday,12:53:38,04:53:38,,,,
1,Weekday,12:54:03,04:54:03,,,,
1,Weekday,12:54:17,04:54:17,,,,
1,Weekday,12:54:35,04:54:35,,,,
1,Weekday,12:54:42,04:54:42,,,,
1,Weekday,12:54:54,04:54:54,,,,
1,Weekday,12:54:55,04:54:55,,,,
1,Weekday,12:55:21,04:55:21,,,,
1,Weekday,12:55:40,04:55:40,,,,
1,Weekday,12:55:59,04:55:59,,,,
1,Weekday,12:56:36,04:56:36,,,,
1,Weekday,12:57:48,04:57:48,,,,
1,Weekday,12:58:43,04:58:43,,,,
1,Weekday,12:59:09,04:59:09,,,,
1,Weekday,12:59:10,04:59:10,,,,
1,Weekday,12:59:44,04:59:44,,,,
1,Weekday,13:02:18,05:02:18,,,,
1,Weekday,13:02:38,05:02:38,,,,
1,Weekday,13:03:21,05:03:21,,,,
1,Weekday,13:04:12,05:04:12,,,,
1,Weekday,13:04:56,05:04:56,,,,
1,Weekday,13:05:26,05:05:26,,,,
1,Weekday,13:05:28,05:05:28,,,,
1,Weekday,13:05:37,05:05:37,,,,
1,Weekday,13:05:56,05:05:56,,,,
1,Weekday,13:06:33,05:06:33,,,,
1,Weekday,13:07:27,05:07:27,,,,
1,Weekday,13:08:52,05:08:52,,,,
1,Weekday,13:09:02,05:09:02,,,,
1,Weekday,13:09:36,05:09:36,,,,
1,Weekday,13:09:38,05:09:38,,,,
1,Weekday,13:09:47,05:09:47,,,,
1,Weekday,13:10:36,05:10:36,,,,
1,Weekday,13:10:38,05:10:38,,,,
1,Weekday,13:11:10,05:11:10,,,,
1,Weekday,13:11:43,05:11:43,,,,
1,Weekday,13:12:27,05:12:27,,,,
1,Weekday,13:12:51,05:12:51,,,,
1,Weekday,13:13:25,05:13:25,,,,
1,Weekday,13:13:26,05:13:26,,,,
1,Weekday,13:13:27,05:13:27,,,,
1,Weekday,13:14:06,05:14:06,,,,
1,Weekday,13:15:18,05:15:18,,,,
1,Weekday,13:15:56,05:15:56,,,,
1,Weekday,13:16:30,05:16:30,,,,
1,Weekday,13:18:05,05:18:05,,,,
1,Weekday,13:18:10,05:18:10,,,,
1,Weekday,13:18:16,05:18:16,,,,
1,Weekday,13:18:22,05:18:22,,,,
1,Weekday,13:18:48,05:18:48,,,,
1,Weekday,13:19:07,05:19:07,,,,
1,Weekday,13:20:14,05:20:14,,,,
1,Weekday,13:20:36,05:20:36,,,,
1,Weekday,13:20:43,05:20:43,,,,
1,Weekday,13:21:24,05:21:24,,,,
1,Weekday,13:21:27,05:21:27,,,,
1,Weekday,13:21:59,05:21:59,,,,
1,Weekday,13:25:03,05:25:03,,,,
1,Weekday,13:25:54,05:25:54,,,,
1,Weekday,13:27:17,05:27:17,,,,
1,Weekday,13:27:32,05:27:32,,,,
1,Weekday,13:27:45,05:27:45,,,,
1,Weekday,13:27:54,05:27:54,,,,
1,Weekday,13:28:46,05:28:46,,,,
1,Weekday,13:28:56,05:28:56,,,,
1,Weekday,13:29:25,05:29:25,,,,
1,Weekday,13:29:33,05:29:33,,,,
1,Weekday,13:29:38,05:29:38,,,,
1,Weekday,13:29:43,05:29:43,,,,
1,Weekday,13:30:26,05:30:26,,,,
1,Weekday,13:30:41,05:30:41,,,,
1,Weekday,13:30:47,05:30:47,,,,
1,Weekday,13:30:54,05:30:54,,,,
1,Weekday,13:31:01,05:31:01,,,,
1,Weekday,13:31:21,05:31:21,,,,
1,Weekday,13:31:21,05:31:21,,,,
1,Weekday,13:31:31,05:31:31,,,,
1,Weekday,13:32:00,05:32:00,,,,
1,Weekday,13:32:42,05:32:42,,,,
1,Weekday,13:33:57,05:33:57,,,,
1,Weekday,13:35:35,05:35:35,,,,
1,Weekday,13:37:11,05:37:11,,,,
1,Weekday,13:37:47,05:37:47,,,,
1,Weekday,13:38:41,05:38:41,,,,
1,Weekday,13:38:43,05:38:43,,,,
1,Weekday,13:38:46,05:38:46,,,,
1,Weekday,13:39:08,05:39:08,,,,
1,Weekday,13:39:24,05:39:24,,,,
1,Weekday,13:39:26,05:39:26,,,,
1,Weekday,13:39:44,05:39:44,,,,
1,Weekday,13:39:49,05:39:49,,,,
1,Weekday,13:40:05,05:40:05,,,,
1,Weekday,13:41:09,05:41:09,,,,
1,Weekday,13:41:29,05:41:29,,,,
1,Weekday,13:41:39,05:41:39,,,,
1,Weekday,13:41:44,05:41:44,,,,
1,Weekday,13:41:46,05:41:46,,,,
1,Weekday,13:41:55,05:41:55,,,,
1,Weekday,13:42:07,05:42:07,,,,
1,Weekday,13:42:26,05:42:26,,,,
1,Weekday,13:42:30,05:42:30,,,,
1,Weekday,13:42:55,05:42:55,,,,
1,Weekday,13:43:04,05:43:04,,,,
1,Weekday,13:44:26,05:44:26,,,,
1,Weekday,13:44:56,05:44:56,,,,
1,Weekday,13:45:03,05:45:03,,,,
1,Weekday,13:45:31,05:45:31,,,,
1,Weekday,13:46:05,05:46:05,,,,
1,Weekday,13:46:18,05:46:18,,,,
1,Weekday,13:46:23,05:46:23,,,,
1,Weekday,13:46:45,05:46:45,,,,
1,Weekday,13:47:07,05:47:07,,,,
1,Weekday,13:48:31,05:48:31,,,,
1,Weekday,13:49:35,05:49:35,,,,
1,Weekday,13:50:24,05:50:24,,,,
1,Weekday,13:50:56,05:50:56,,,,
1,Weekday,13:51:08,05:51:08,,,,
1,Weekday,13:52:17,05:52:17,,,,
1,Weekday,13:52:36,05:52:36,,,,
1,Weekday,13:52:38,05:52:38,,,,
1,Weekday,13:53:17,05:53:17,,,,
1,Weekday,13:53:50,05:53:50,,,,
1,Weekday,13:54:20,05:54:20,,,,
1,Weekday,13:54:28,05:54:28,,,,
1,Weekday,13:54:58,05:54:58,,,,
1,Weekday,13:55:56,05:55:56,,,,
1,Weekday,13:56:01,05:56:01,,,,
1,Weekday,13:56:04,05:56:04,,,,
1,Weekday,13:56:15,05:56:15,,,,
1,Weekday,13:56:45,05:56:45,,,,
1,Weekday,13:56:52,05:56:52,,,,
1,Weekday,13:57:09,05:57:09,,,,
1,Weekday,13:57:22,05:57:22,,,,
1,Weekday,13:57:39,05:57:39,,,,
1,Weekday,13:57:51,05:57:51,,,,
1,Weekday,13:58:04,05:58:04,,,,
1,Weekday,13:58:12,05:58:12,,,,
1,Weekday,13:58:52,05:58:52,,,,
1,Weekday,13:58:53,05:58:53,,,,
1,Weekday,13:59:06,05:59:06,,,,
1,Weekday,13:59:16,05:59:16,,,,
1,Weekday,13:59:23,05:59:23,,,,
1,Weekday,14:00:32,06:00:32,,,,
1,Weekday,14:00:48,06:00:48,,,,
1,Weekday,14:00:49,06:00:49,,,,
1,Weekday,14:01:31,06:01:31,,,,
1,Weekday,14:01:45,06:01:45,,,,
1,Weekday,14:01:56,06:01:56,,,,
1,Weekday,14:02:17,06:02:17,,,,
1,Weekday,14:03:37,06:03:37,,,,
1,Weekday,14:04:04,06:04:04,,,,
1,Weekday,14:04:20,06:04:20,,,,
1,Weekday,14:05:32,06:05:32,,,,
1,Weekday,14:06:06,06:06:06,,,,
1,Weekday,14:07:47,06:07:47,,,,
1,Weekday,14:08:01,06:08:01,,,,
1,Weekday,14:08:07,06:08:07,,,,
1,Weekday,14:09:19,06:09:19,,,,
1,Weekday,14:09:54,06:09:54,,,,
1,Weekday,14:10:11,06:10:11,,,,
1,Weekday,14:10:20,06:10:20,,,,
1,Weekday,14:10:29,06:10:29,,,,
1,Weekday,14:10:40,06:10:40,,,,
1,Weekday,14:11:36,06:11:36,,,,
1,Weekday,14:13:06,06:13:06,,,,
1,Weekday,14:13:18,06:13:18,,,,
1,Weekday,14:13:44,06:13:44,,,,
1,Weekday,14:14:22,06:14:22,,,,
1,Weekday,14:14:55,06:14:55,,,,
1,Weekday,14:14:56,06:14:56,,,,
1,Weekday,14:15:21,06:15:21,,,,
1,Weekday,14:15:31,06:15:31,,,,
1,Weekday,14:16:11,06:16:11,,,,
1,Weekday,14:16:13,06:16:13,,,,
1,Weekday,14:16:53,06:16:53,,,,
1,Weekday,14:17:58,06:17:58,,,,
1,Weekday,14:19:39,06:19:39,,,,
1,Weekday,14:20:29,06:20:29,,,,
1,Weekday,14:20:30,06:20:30,,,,
1,Weekday,14:20:41,06:20:41,,,,
1,Weekday,14:20:46,06:20:46,,,,
1,Weekday,14:21:36,06:21:36,,,,
1,Weekday,14:22:10,06:22:10,,,,
1,Weekday,14:22:29,06:22:29,,,,
1,Weekday,14:23:41,06:23:41,,,,
1,Weekday,14:23:49,06:23:49,,,,
1,Weekday,14:23:56,06:23:56,,,,
1,Weekday,14:24:57,06:24:57,,,,
1,Weekday,14:26:43,06:26:43,,,,
1,Weekday,14:28:08,06:28:08,,,,
1,Weekday,14:28:27,06:28:27,,,,
1,Weekday,14:29:21,06:29:21,,,,
1,Weekday,14:29:30,06:29:30,,,,
1,Weekday,14:31:22,06:31:22,,,,
1,Weekday,14:32:05,06:32:05,,,,
1,Weekday,14:32:28,06:32:28,,,,
1,Weekday,14:32:51,06:32:51,,,,
1,Weekday,14:34:08,06:34:08,,,,
1,Weekday,14:34:36,06:34:36,,,,
1,Weekday,14:35:03,06:35:03,,,,
1,Weekday,14:35:06,06:35:06,,,,
1,Weekday,14:35:29,06:35:29,,,,
1,Weekday,14:35:46,06:35:46,,,,
1,Weekday,14:37:22,06:37:22,,,,
1,Weekday,14:37:51,06:37:51,,,,
1,Weekday,14:38:14,06:38:14,,,,
1,Weekday,14:39:38,06:39:38,,,,
1,Weekday,14:41:18,06:41:18,,,,
1,Weekday,14:42:14,06:42:14,,,,
1,Weekday,14:43:36,06:43:36,,,,
1,Weekday,14:43:58,06:43:58,,,,
1,Weekday,14:44:00,06:44:00,,,,
1,Weekday,14:46:29,06:46:29,,,,
1,Weekday,14:46:50,06:46:50,,,,
1,Weekday,14:47:59,06:47:59,,,,
1,Weekday,14:48:23,06:48:23,,,,
1,Weekday,14:48:28,06:48:28,,,,
1,Weekday,14:49:11,06:49:11,,,,
1,Weekday,14:49:43,06:49:43,,,,
1,Weekday,14:50:35,06:50:35,,,,
1,Weekday,14:51:11,06:51:11,,,,
1,Weekday,14:52:14,06:52:14,,,,
1,Weekday,14:53:38,06:53:38,,,,
1,Weekday,14:54:06,06:54:06,,,,
1,Weekday,14:54:27,06:54:27,,,,
1,Weekday,14:54:36,06:54:36,,,,
1,Weekday,14:55:15,06:55:15,,,,
1,Weekday,14:55:49,06:55:49,,,,
1,Weekday,14:56:16,06:56:16,,,,
1,Weekday,14:56:28,06:56:28,,,,
1,Weekday,14:57:17,06:57:17,,,,
1,Weekday,14:57:46,06:57:46,,,,
1,Weekday,14:58:09,06:58:09,,,,
1,Weekday,14:58:22,06:58:22,,,,
1,Weekday,14:59:25,06:59:25,,,,
1,Weekday,14:59:50,06:59:50,,,,
1,Weekday,15:00:35,07:00:35,,,,
1,Weekday,15:00:55,07:00:55,,,,
1,Weekday,15:01:17,07:01:17,,,,
1,Weekday,15:02:18,07:02:18,,,,
1,Weekday,15:02:55,07:02:55,,,,
1,Weekday,15:04:50,07:04:50,,,,
1,Weekday,15:05:39,07:05:39,,,,
1,Weekday,15:06:46,07:06:46,,,,
1,Weekday,15:07:00,07:07:00,,,,
1,Weekday,15:08:34,07:08:34,,,,
1,Weekday,15:09:40,07:09:40,,,,
1,Weekday,15:11:13,07:11:13,,,,
1,Weekday,15:11:17,07:11:17,,,,
1,Weekday,15:11:29,07:11:29,,,,
1,Weekday,15:13:29,07:13:29,,,,
1,Weekday,15:13:55,07:13:55,,,,
1,Weekday,15:14:12,07:14:12,,,,
1,Weekday,15:15:04,07:15:04,,,,
1,Weekday,15:15:40,07:15:40,,,,
1,Weekday,15:19:12,07:19:12,,,,
1,Weekday,15:20:36,07:20:36,,,,
1,Weekday,15:20:57,07:20:57,,,,
1,Weekday,15:20:59,07:20:59,,,,
1,Weekday,15:21:34,07:21:34,,,,
1,Weekday,15:21:47,07:21:47,,,,
1,Weekday,15:22:05,07:22:05,,,,
1,Weekday,15:23:39,07:23:39,,,,
1,Weekday,15:23:43,07:23:43,,,,
1,Weekday,15:23:50,07:23:50,,,,
1,Weekday,15:24:11,07:24:11,,,,
1,Weekday,15:24:52,07:24:52,,,,
1,Weekday,15:25:13,07:25:13,,,,
1,Weekday,15:26:24,07:26:24,,,,
1,Weekday,15:27:06,07:27:06,,,,
1,Weekday,15:27:47,07:27:47,,,,
1,Weekday,15:28:10,07:28:10,,,,
1,Weekday,15:31:14,07:31:14,,,,
1,Weekday,15:31:33,07:31:33,,,,
1,Weekday,15:32:49,07:32:49,,,,
1,Weekday,15:33:19,07:33:19,,,,
1,Weekday,15:33:45,07:33:45,,,,
1,Weekday,15:35:01,07:35:01,,,,
1,Weekday,15:35:28,07:35:28,,,,
1,Weekday,15:35:28,07:35:28,,,,
1,Weekday,15:36:34,07:36:34,,,,
1,Weekday,15:36:51,07:36:51,,,,
1,Weekday,15:37:31,07:37:31,,,,
1,Weekday,15:37:39,07:37:39,,,,
1,Weekday,15:37:45,07:37:45,,,,
1,Weekday,15:38:45,07:38:45,,,,
1,Weekday,15:38:52,07:38:52,,,,
1,Weekday,15:39:18,07:39:18,,,,
1,Weekday,15:39:20,07:39:20,,,,
1,Weekday,15:39:27,07:39:27,,,,
1,Weekday,15:39:30,07:39:30,,,,
1,Weekday,15:40:09,07:40:09,,,,
1,Weekday,15:40:09,07:40:09,,,,
1,Weekday,15:40:46,07:40:46,,,,
1,Weekday,15:41:31,07:41:31,,,,
1,Weekday,15:42:14,07:42:14,,,,
1,Weekday,15:42:59,07:42:59,,,,
1,Weekday,15:43:15,07:43:15,,,,
1,Weekday,15:43:17,07:43:17,,,,
1,Weekday,15:43:46,07:43:46,,,,
1,Weekday,15:44:17,07:44:17,,,,
1,Weekday,15:44:19,07:44:19,,,,
1,Weekday,15:45:08,07:45:08,,,,
1,Weekday,15:45:24,07:45:24,,,,
1,Weekday,15:45:36,07:45:36,,,,
